city,date,trend
Vienna,2024-01-31,29.0
Vienna,2024-02-29,31.0
Vienna,2024-03-31,31.6
Vienna,2024-04-30,34.75
Vienna,2024-05-31,33.0
Vienna,2024-06-30,34.0
Vienna,2024-07-31,37.0
Vienna,2024-08-31,45.75
Vienna,2024-09-30,36.8
Vienna,2024-10-31,41.25
Vienna,2024-11-30,35.0
Vienna,2024-12-31,39.6
Vienna,2025-01-31,31.75
Vienna,2025-02-28,30.75
Vienna,2025-03-31,32.2
Vienna,2025-04-30,34.5
Vienna,2025-05-31,33.0
Vienna,2025-06-30,33.6
Vienna,2025-07-31,39.0
Vienna,2025-08-31,60.4
Vienna,2025-09-30,55.75
Vienna,2025-10-31,66.0
Vienna,2025-11-30,58.0
Vienna,2025-12-31,54.25
